,Marque,Référence annonce,Nom,Modèle,Prix,Année,Contrôle technique,Énergie,Boîte de vitesse,Couleur extérieure,Couleur intérieure,Nombre de portes,Nombre de places,Première main (déclaratif),Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Norme Euro,Éligible prime à la conversion,Kilométrage compteur km,Garantie,Nombre de propriétaires,Garantie constructeur,Vérifié & Garanti,Provenance
10,Fiat,E106271111,FIAT 500 II (2) C 1.2 8V 69 LOUNGE,500 C,13490,2019,non requis,Essence,mécanique,GRIS ELECTRO,,2,4,non,4 CV,69 ch,1,116 g/kmB,EURO6,Oui,10,16 mois,,en cours,,
11,Fiat,E106233498,FIAT 500 69CH BICOLOR EDITION S&S 1.2I BLEU/BLANC PHASE 1,500 (2E GENERATION),6490,2011,requis,Essence,mécanique,bleu clair,,3,,non,4 CV,0 ch,,110 g/kmB,,Non,89385,,,,,
12,Fiat,E106020232,FIAT TIPO II 1.4 95 5CV EASY 5P,TIPO 2,12900,2018,non requis,Essence,mécanique,BLEU F,,5,5,non,5 CV,95 ch,1,129 g/kmC,EURO6,Non,18490,12 mois,,en cours,,
13,Fiat,E106352007,FIAT 500 X 1.4 MULTIAIR 140 LOUNGE 4X2 DCT,500 X,14490,2017,non requis,Essence,automatique,gris Argento métallisé,,5,5,non,7 CV,140 ch,1,133 g/kmC,EURO6,Non,52386,,,,,
14,Fiat,W101664283,FIAT 500 II (2) 1.2 8V 69 LOUNGE,500 (2E GENERATION),9990,2018,non requis,Essence,mécanique,rouge metal,tissu beige,3,4,oui,4 CV,69 ch,1,116 g/kmB,EURO6,Oui,21200,12 mois,2,en cours,Opel Sélection Select,
15,Fiat,E105751939,FIAT TIPO II 1.4 95 5CV EASY 5P,TIPO 2,11980,2018,non requis,Essence,mécanique,Grigio Maest,,5,5,non,5 CV,95 ch,1,129 g/kmC,EURO6,Non,26414,12 mois,,en cours,Fiat Autoexpert ALTA,
16,Fiat,W101714535,FIAT 500 II (2) 1.2 8V 69 LOUNGE,500 (2E GENERATION),10490,2018,non requis,Essence,mécanique,gris foncé metal,tissu gris,3,4,oui,4 CV,69 ch,1,115 g/kmB,EURO6,Oui,16000,,1,en cours,,
1,Ford,W101703175,FORD RANGER III (2) 3.2 TDCI 200 SUPER CAB LIMITED AUTO,RANGER 3,29750,2017,non requis,Diesel,automatique,blanc verni,cuir gris,4,5,non,11 CV,200 ch,2,228 g/kmF,EURO6,Non,39600,12 mois,,,,
2,Ford,W101709183,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,gris anthracite metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
3,Ford,W101709063,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,noir metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
